vendorId,legalName,registeredDomain,knownPhone,knownBankAccount,bankAccountAddedDate,firstInvoiceDate,address,contactEmail,taxId
V-019,Quantum Components LLC,quantumcomponents.com,+1-555-588-5422,GB29 NWBK 6016 0019 0019 19,2024-03-08,2024-06-27,"233 Harbor St, Madison, WI 53703",ap@quantumcomponents.com,US-20-9344066
V-020,Redwood Engineering Systems,redwoodengineering.com,+1-555-532-1916,GB29 NWBK 6016 0020 0020 20,2024-03-27,2024-04-05,"240 Industrial Pkwy, Springfield, IL 62701",ap@redwoodengineering.com,US-21-3842788
V-021,Sterling Manufacturing Group,sterlingmanufacturing.com,+1-555-523-7572,GB29 NWBK 6016 0021 0021 21,2024-03-03,2024-04-28,"247 Manufacturing Way, Columbus, OH 43215",ap@sterlingmanufacturing.com,US-22-4491946
V-022,Trident Industrial Supply,tridentindustrial.com,+1-555-780-6155,GB29 NWBK 6016 0022 0022 22,2024-03-21,2024-06-03,"254 Commerce Blvd, Austin, TX 73301",ap@tridentindustrial.com,US-23-3567281
V-023,Ultramax Logistics Co,ultramaxlogistics.com,+1-555-605-8517,GB29 NWBK 6016 0023 0023 23,2024-03-09,2024-04-18,"261 Logistics Ln, Denver, CO 80202",ap@ultramaxlogistics.com,US-24-2396987
V-024,Vanguard Steel Inc,vanguardsteel.com,+1-555-452-9830,GB29 NWBK 6016 0024 0024 24,2024-03-24,2024-06-14,"268 Steel Dr, Phoenix, AZ 85001",ap@vanguardsteel.com,US-25-4408072
V-025,Lakeside Components Supply,lakesidecomponents.com,+1-555-638-7543,GB29 NWBK 6016 0025 0025 25,2024-03-08,2024-04-18,"275 Components Cir, Charlotte, NC 28201",ap@lakesidecomponents.com,US-26-6073292
V-026,Magnolia Engineering Systems,magnoliaengineering.com,+1-555-721-9085,GB29 NWBK 6016 0026 0026 26,2024-03-25,2024-04-07,"282 Engineering Ct, Portland, OR 97201",ap@magnoliaengineering.com,US-27-1525206
V-027,Northgate Manufacturing Inc,northgatemanufacturing.com,+1-555-312-3504,GB29 NWBK 6016 0027 0027 27,2024-03-26,2024-06-27,"289 Supply Rd, Nashville, TN 37201",ap@northgatemanufacturing.com,US-28-2684052
V-028,Oak Ridge Steel Holdings,oakridgesteel.com,+1-555-632-2040,GB29 NWBK 6016 0028 0028 28,2024-03-13,2024-06-16,"296 Foundry Ave, Raleigh, NC 27601",ap@oakridgesteel.com,US-29-6455324
V-029,Pinecrest Logistics Partners,pinecrestlogistics.com,+1-555-679-9669,GB29 NWBK 6016 0029 0029 29,2024-03-18,2024-07-20,"303 Harbor St, Madison, WI 53703",ap@pinecrestlogistics.com,US-30-4218028
V-030,Quartz Fabrication Group,quartzfabrication.com,+1-555-211-2876,GB29 NWBK 6016 0030 0030 30,2024-03-25,2024-05-05,"310 Industrial Pkwy, Springfield, IL 62701",ap@quartzfabrication.com,US-31-9008867
V-031,Ridgeline Industrial Supply,ridgelineindustrial.com,+1-555-987-6573,GB29 NWBK 6016 0031 0031 31,2024-03-10,2024-05-26,"317 Manufacturing Way, Columbus, OH 43215",ap@ridgelineindustrial.com,US-32-1871534
V-032,Silverlake Components Co,silverlakecomponents.com,+1-555-361-8433,GB29 NWBK 6016 0032 0032 32,2024-03-31,2024-07-02,"324 Commerce Blvd, Austin, TX 73301",ap@silverlakecomponents.com,US-33-0054447
V-033,Thornwood Manufacturing LLC,thornwoodmanufacturing.com,+1-555-936-5315,GB29 NWBK 6016 0033 0033 33,2024-03-25,2024-04-23,"331 Logistics Ln, Denver, CO 80202",ap@thornwoodmanufacturing.com,US-34-8398441
V-034,Underhill Engineering Inc,underhillengineering.com,+1-555-719-2743,GB29 NWBK 6016 0034 0034 34,2024-03-27,2024-06-21,"338 Steel Dr, Phoenix, AZ 85001",ap@underhillengineering.com,US-35-5007072
V-035,Valley Forge Steel Systems,valleyforgesteel.com,+1-555-719-4258,GB29 NWBK 6016 0035 0035 35,2024-03-12,2024-07-07,"345 Components Cir, Charlotte, NC 28201",ap@valleyforgesteel.com,US-36-2564217
V-036,Westmark Industrial Supply,westmarkindustrial.com,+1-555-365-9837,GB29 NWBK 6016 0036 0036 36,2024-03-30,2024-04-01,"352 Engineering Ct, Portland, OR 97201",ap@westmarkindustrial.com,US-37-8897858
V-037,Xander Logistics Group,xanderlogistics.com,+1-555-813-6310,GB29 NWBK 6016 0037 0037 37,2024-03-01,2024-04-15,"359 Supply Rd, Nashville, TN 37201",ap@xanderlogistics.com,US-38-8197443
V-038,Amber Creek Industrial,ambercreek.com,+1-555-571-6038,GB29 NWBK 6016 0038 0038 38,2024-03-02,2024-05-01,"366 Foundry Ave, Raleigh, NC 27601",ap@ambercreek.com,US-39-4017343
V-039,Bluegrass Manufacturing,bluegrass.com,+1-555-780-2290,GB29 NWBK 6016 0039 0039 39,2024-03-24,2024-06-02,"373 Harbor St, Madison, WI 53703",ap@bluegrass.com,US-40-1437026
V-040,Copper Ridge Engineering,copperridge.com,+1-555-270-9727,GB29 NWBK 6016 0040 0040 40,2024-03-05,2024-06-24,"380 Industrial Pkwy, Springfield, IL 62701",ap@copperridge.com,US-41-2109911
V-041,Dawson Logistics Supply,dawsonlogistics.com,+1-555-686-3705,GB29 NWBK 6016 0041 0041 41,2024-03-17,2024-07-21,"387 Manufacturing Way, Columbus, OH 43215",ap@dawsonlogistics.com,US-42-4446912
V-042,Elmside Fabrication Co,elmsidefabrication.com,+1-555-821-7932,GB29 NWBK 6016 0042 0042 42,2024-03-30,2024-06-09,"394 Commerce Blvd, Austin, TX 73301",ap@elmsidefabrication.com,US-43-3553384
V-043,Foothill Steel Systems,foothillsteel.com,+1-555-973-4295,GB29 NWBK 6016 0043 0043 43,2024-03-13,2024-06-25,"401 Logistics Ln, Denver, CO 80202",ap@foothillsteel.com,US-44-5229731
V-044,Greystone Industrial Inc,greystoneindustrial.com,+1-555-865-7118,GB29 NWBK 6016 0044 0044 44,2024-03-29,2024-06-06,"408 Steel Dr, Phoenix, AZ 85001",ap@greystoneindustrial.com,US-45-7350099
V-045,Highmark Components Group,highmarkcomponents.com,+1-555-662-2982,GB29 NWBK 6016 0045 0045 45,2024-03-08,2024-04-09,"415 Components Cir, Charlotte, NC 28201",ap@highmarkcomponents.com,US-46-4159166
V-046,Ironclad Manufacturing Holdings,ironcladmanufacturing.com,+1-555-546-1344,GB29 NWBK 6016 0046 0046 46,2024-03-18,2024-04-30,"422 Engineering Ct, Portland, OR 97201",ap@ironcladmanufacturing.com,US-47-9870182
V-047,Brookside Industrial Supply,brooksideindustrial.com,+1-555-802-4608,GB29 NWBK 6016 0047 0047 47,2024-03-03,2024-06-30,"429 Supply Rd, Nashville, TN 37201",ap@brooksideindustrial.com,US-48-0120642
V-048,Cedar Logistics Partners,cedarlogistics.com,+1-555-846-1964,GB29 NWBK 6016 0048 0048 48,2024-03-03,2024-07-25,"436 Foundry Ave, Raleigh, NC 27601",ap@cedarlogistics.com,US-49-3841005
V-049,Drake Manufacturing Co,drakemanufacturing.com,+1-555-232-6413,GB29 NWBK 6016 0049 0049 49,2024-03-17,2024-05-01,"443 Harbor St, Madison, WI 53703",ap@drakemanufacturing.com,US-50-1188789
V-050,York Manufacturing Co,yorkmanufacturing.com,+1-555-485-8953,GB29 NWBK 6016 0050 0050 50,2026-03-10,2026-03-15,"450 Industrial Pkwy, Springfield, IL 62701",ap@yorkmanufacturing.com,US-01-3594297
V-051,Eastside Fabrication Inc,eastsidefabrication.com,+1-555-752-3167,GB29 NWBK 6016 0051 0051 51,2024-03-19,2024-05-31,"457 Manufacturing Way, Columbus, OH 43215",ap@eastsidefabrication.com,US-02-9580513
V-052,Forest Hill Components,foresthill.com,+1-555-448-8749,GB29 NWBK 6016 0052 0052 52,2024-03-07,2024-04-13,"464 Commerce Blvd, Austin, TX 73301",ap@foresthill.com,US-03-6829332
V-053,Glacier Steel Systems,glaciersteel.com,+1-555-299-8062,GB29 NWBK 6016 0053 0053 53,2024-03-14,2024-05-23,"471 Logistics Ln, Denver, CO 80202",ap@glaciersteel.com,US-04-5944126
V-054,Highland Engineering Group,highlandengineering.com,+1-555-678-1887,GB29 NWBK 6016 0054 0054 54,2024-03-02,2024-05-22,"478 Steel Dr, Phoenix, AZ 85001",ap@highlandengineering.com,US-05-1651177
V-055,Island Logistics Holdings,islandlogistics.com,+1-555-945-6559,GB29 NWBK 6016 0055 0055 55,2024-03-08,2024-04-25,"485 Components Cir, Charlotte, NC 28201",ap@islandlogistics.com,US-06-1833230
V-056,Jasper Manufacturing LLC,jaspermanufacturing.com,+1-555-394-9786,GB29 NWBK 6016 0056 0056 56,2024-03-05,2024-05-25,"492 Engineering Ct, Portland, OR 97201",ap@jaspermanufacturing.com,US-07-7526486
V-057,Kensington Industrial Co,kensingtonindustrial.com,+1-555-387-5563,GB29 NWBK 6016 0057 0057 57,2024-03-08,2024-07-21,"499 Supply Rd, Nashville, TN 37201",ap@kensingtonindustrial.com,US-08-7761611
V-058,Midland Steel Supply,midlandsteel.com,+1-555-277-8260,GB29 NWBK 6016 0058 0058 58,2024-03-04,2024-04-07,"506 Foundry Ave, Raleigh, NC 27601",ap@midlandsteel.com,US-09-9232926
V-059,Northvale Industrial Co,northvaleindustrial.com,+1-555-867-9856,GB29 NWBK 6016 0059 0059 59,2024-03-03,2024-07-28,"513 Harbor St, Madison, WI 53703",ap@northvaleindustrial.com,US-10-0247595
V-060,Zenith Engineering Holdings,zenithengineering.com,+1-555-971-4872,GB29 NWBK 6016 0060 0060 60,2024-03-14,2024-06-02,"520 Industrial Pkwy, Springfield, IL 62701",ap@zenithengineering.com,US-11-2790237
