payment_id,vendor_id,invoice_number,payment_date,amount_inr,status
1064,V-0008,INV-0999,2026-04-27,338315.43,PAID
1065,V-0009,INV-0874,2024-08-01,87085.49,PAID
1066,V-0009,INV-0761,2024-11-13,66604.57,PAID
1067,V-0009,INV-0767,2025-01-16,94434.22,PAID
1068,V-0009,INV-0840,2025-05-03,79910.58,PAID
1069,V-0009,INV-0279,2025-08-10,48954.26,PAID
1070,V-0009,INV-0137,2025-10-27,98716.44,PAID
1071,V-0009,INV-0607,2026-02-12,71319.40,PAID
1072,V-0009,INV-0993,2026-04-20,93207.04,PAID
1073,V-0010,INV-0109,2024-08-13,900210.70,PAID
1074,V-0010,INV-0443,2024-10-24,748605.40,PAID
1075,V-0010,INV-0656,2025-01-23,962385.97,PAID
1076,V-0010,INV-0237,2025-05-01,907137.31,PAID
1077,V-0010,INV-0297,2025-08-10,674030.41,PAID
1078,V-0010,INV-0848,2025-11-08,598031.51,PAID
1079,V-0010,INV-0290,2026-01-27,557401.98,PAID
1080,V-0010,INV-0402,2026-04-15,601587.93,PAID
1081,V-0011,INV-0279,2024-08-03,932766.65,PAID
1082,V-0011,INV-0515,2024-11-03,859398.77,PAID
1083,V-0011,INV-0188,2025-02-08,783006.41,PAID
1084,V-0011,INV-0243,2025-04-28,523158.55,PAID
1085,V-0011,INV-0106,2025-07-30,1043256.32,PAID
1086,V-0011,INV-0871,2025-10-22,609880.19,PAID
1087,V-0011,INV-0696,2026-01-22,668115.14,PAID
1088,V-0011,INV-0769,2026-05-06,471206.55,PAID
1089,V-0012,INV-0783,2024-07-28,365757.36,PAID
1090,V-0012,INV-0515,2024-10-19,391903.35,PAID
1091,V-0012,INV-0820,2025-02-04,620450.13,PAID
1092,V-0012,INV-0754,2025-05-09,534113.35,PAID
1093,V-0012,INV-0729,2025-08-12,387539.00,PAID
1094,V-0012,INV-0589,2025-10-21,633152.58,PAID
1095,V-0012,INV-0720,2026-01-18,555415.58,PAID
1096,V-0012,INV-0582,2026-04-26,538433.78,PAID
1097,V-0013,INV-0945,2024-08-08,346868.42,PAID
1098,V-0013,INV-0872,2024-10-22,222931.38,PAID
1099,V-0013,INV-0638,2025-02-01,343599.45,PAID
1100,V-0013,INV-0179,2025-04-29,324913.92,PAID
1101,V-0013,INV-0948,2025-08-12,192701.81,PAID
1102,V-0013,INV-0686,2025-10-31,280599.05,PAID
1103,V-0013,INV-0974,2026-01-30,204397.70,PAID
1104,V-0013,INV-0310,2026-04-30,193603.33,PAID
1105,V-0014,INV-0622,2024-08-07,307470.85,PAID
1106,V-0014,INV-0235,2024-10-29,199954.08,PAID
1107,V-0014,INV-0159,2025-01-30,299520.47,PAID
1108,V-0014,INV-0415,2025-05-02,353123.67,PAID
1109,V-0014,INV-0936,2025-08-06,284418.10,PAID
1110,V-0014,INV-0174,2025-10-15,240227.38,PAID
1111,V-0014,INV-0165,2026-01-15,271656.43,PAID
1112,V-0014,INV-0170,2026-05-01,201101.04,PAID
1113,V-0015,INV-0393,2024-08-15,333083.95,PAID
1114,V-0015,INV-0884,2024-10-28,414006.82,PAID
1115,V-0015,INV-0530,2025-02-03,403190.50,PAID
1116,V-0015,INV-0559,2025-04-27,447357.33,PAID
1117,V-0015,INV-0484,2025-08-11,451563.15,PAID
1118,V-0015,INV-0995,2025-10-17,467202.23,PAID
1119,V-0015,INV-0456,2026-01-30,382543.40,PAID
1120,V-0015,INV-0502,2026-04-18,475024.64,PAID
1121,V-0016,INV-0328,2024-08-01,190409.81,PAID
1122,V-0016,INV-0405,2024-11-10,194058.86,PAID
1123,V-0016,INV-0534,2025-01-28,189281.00,PAID
1124,V-0016,INV-0353,2025-05-01,202714.03,PAID
1125,V-0016,INV-0293,2025-07-29,116616.96,PAID
1126,V-0016,INV-0215,2025-11-12,190045.00,PAID
1127,V-0016,INV-0729,2026-01-14,181692.57,PAID
1128,V-0016,INV-0116,2026-05-07,210496.33,PAID
1129,V-0017,INV-0708,2024-07-25,2572570.40,PAID
1130,V-0017,INV-0820,2024-10-17,4242395.54,PAID
1131,V-0017,INV-0145,2025-02-10,3131105.02,PAID
1132,V-0017,INV-0322,2025-04-28,3098384.81,PAID
1133,V-0017,INV-0243,2025-08-07,4803560.23,PAID
1134,V-0017,INV-0935,2025-10-30,3271268.46,PAID
1135,V-0017,INV-0691,2026-02-10,4174171.30,PAID
1136,V-0017,INV-0428,2026-05-02,4477675.08,PAID
1137,V-0018,INV-0776,2024-07-25,543078.90,PAID
1138,V-0018,INV-0381,2024-10-31,388563.72,PAID
1139,V-0018,INV-0852,2025-01-16,567209.83,PAID
1140,V-0018,INV-0537,2025-05-13,459503.98,PAID
1141,V-0018,INV-0452,2025-08-01,266114.57,PAID
1142,V-0018,INV-0904,2025-11-12,474648.37,PAID
1143,V-0018,INV-0518,2026-01-29,482985.52,PAID
1144,V-0018,INV-0872,2026-04-19,376174.50,PAID
1145,V-0019,INV-0330,2024-08-02,649145.97,PAID
1146,V-0019,INV-0925,2024-10-25,954803.27,PAID
1147,V-0019,INV-0522,2025-01-28,529044.21,PAID
1148,V-0019,INV-0237,2025-05-15,856354.23,PAID
1149,V-0019,INV-0438,2025-07-27,658334.03,PAID
1150,V-0019,INV-0967,2025-11-03,1095411.74,PAID
1151,V-0019,INV-0949,2026-01-25,842170.57,PAID
1152,V-0019,INV-0789,2026-04-20,667155.36,PAID
1153,V-0020,INV-0174,2024-08-04,143000.74,PAID
1154,V-0020,INV-0841,2024-10-21,273793.72,PAID
1155,V-0020,INV-0313,2025-02-04,175143.18,PAID
1156,V-0020,INV-0115,2025-05-12,196142.67,PAID
1157,V-0020,INV-0859,2025-07-22,170254.54,PAID
1158,V-0020,INV-0590,2025-10-18,316876.64,PAID
1159,V-0020,INV-0820,2026-02-10,261827.58,PAID
1160,V-0020,INV-0665,2026-04-21,301582.32,PAID
1161,V-0021,INV-0577,2024-07-27,381394.53,PAID
1162,V-0021,INV-0367,2024-11-01,409526.92,PAID
1163,V-0021,INV-0577,2025-01-25,602817.01,PAID
1164,V-0021,INV-0580,2025-04-18,639184.36,PAID
1165,V-0021,INV-0308,2025-08-07,395118.83,PAID
1166,V-0021,INV-0676,2025-10-26,429710.85,PAID
1167,V-0021,INV-0116,2026-02-08,550554.64,PAID
1168,V-0021,INV-0693,2026-04-22,621994.36,PAID
1169,V-0022,INV-0300,2024-08-07,220944.03,PAID
1170,V-0022,INV-0953,2024-10-25,238836.90,PAID
1171,V-0022,INV-0801,2025-01-22,274943.54,PAID
1172,V-0022,INV-0600,2025-04-26,319909.72,PAID
1173,V-0022,INV-0602,2025-08-13,294190.61,PAID
1174,V-0022,INV-0460,2025-10-28,313443.42,PAID
1175,V-0022,INV-0600,2026-01-19,310810.48,PAID
1176,V-0022,INV-0757,2026-04-20,346545.62,PAID
1177,V-0023,INV-0959,2024-08-14,177110.48,PAID
1178,V-0023,INV-0784,2024-11-10,235673.95,PAID
1179,V-0023,INV-0240,2025-01-16,105156.00,PAID
1180,V-0023,INV-0824,2025-05-11,136443.71,PAID
1181,V-0023,INV-0566,2025-07-20,134676.01,PAID
1182,V-0023,INV-0782,2025-10-26,190163.42,PAID
1183,V-0023,INV-0775,2026-02-11,231164.44,PAID
1184,V-0023,INV-0664,2026-04-29,105188.48,PAID
1185,V-0024,INV-0839,2024-07-30,272626.72,PAID
1186,V-0024,INV-0117,2024-10-24,614244.54,PAID
1187,V-0024,INV-0540,2025-01-30,514818.54,PAID
1188,V-0024,INV-0209,2025-05-10,590169.94,PAID
1189,V-0024,INV-0346,2025-08-12,453136.04,PAID
1190,V-0024,INV-0934,2025-10-20,453872.35,PAID
1191,V-0024,INV-0180,2026-01-24,549337.01,PAID
1192,V-0024,INV-0678,2026-04-26,411051.10,PAID
1193,V-0025,INV-0407,2024-07-25,207240.73,PAID
1194,V-0025,INV-0769,2024-11-05,228810.36,PAID
1195,V-0025,INV-0132,2025-02-13,200461.19,PAID
1196,V-0025,INV-0665,2025-04-18,161707.29,PAID
1197,V-0025,INV-0819,2025-07-30,198578.88,PAID
1198,V-0025,INV-0544,2025-10-20,178976.55,PAID
1199,V-0025,INV-0978,2026-02-02,154835.10,PAID
1200,V-0025,INV-0143,2026-05-14,235529.74,PAID
1201,V-0026,INV-0808,2024-07-24,994752.83,PAID
1202,V-0026,INV-0147,2024-11-11,738260.84,PAID
1203,V-0026,INV-0387,2025-02-11,864122.20,PAID
1204,V-0026,INV-0133,2025-05-12,791278.62,PAID
1205,V-0026,INV-0116,2025-07-21,964122.16,PAID
1206,V-0026,INV-0870,2025-11-12,805451.77,PAID
1207,V-0026,INV-0178,2026-02-07,946336.24,PAID
1208,V-0026,INV-0680,2026-04-23,791548.88,PAID
1209,V-0027,INV-0653,2024-08-11,775014.97,PAID
1210,V-0027,INV-0243,2024-10-25,1024328.23,PAID
1211,V-0027,INV-0180,2025-02-07,979222.62,PAID
1212,V-0027,INV-0154,2025-05-01,1173128.69,PAID
1213,V-0027,INV-0177,2025-07-18,668193.44,PAID
1214,V-0027,INV-0709,2025-10-25,1033441.79,PAID
1215,V-0027,INV-0130,2026-01-25,1036536.95,PAID
1216,V-0027,INV-0561,2026-05-04,1043335.59,PAID
1217,V-0028,INV-0484,2024-08-01,92456.41,PAID
1218,V-0028,INV-0776,2024-10-28,119536.40,PAID
1219,V-0028,INV-0402,2025-01-26,127268.08,PAID
1220,V-0028,INV-0184,2025-05-09,122330.73,PAID
1221,V-0028,INV-0902,2025-07-24,94479.10,PAID
1222,V-0028,INV-0424,2025-11-03,124550.15,PAID
1223,V-0028,INV-0415,2026-01-24,70359.62,PAID
1224,V-0028,INV-0204,2026-04-28,126363.69,PAID
1225,V-0029,INV-0559,2024-07-21,222011.71,PAID
1226,V-0029,INV-0205,2024-11-01,298996.17,PAID
1227,V-0029,INV-0195,2025-01-15,261451.30,PAID
1228,V-0029,INV-0984,2025-05-03,363416.65,PAID
1229,V-0029,INV-0497,2025-07-27,246750.99,PAID
1230,V-0029,INV-0672,2025-11-07,349301.76,PAID
1231,V-0029,INV-0685,2026-02-10,409300.58,PAID
1232,V-0029,INV-0273,2026-04-30,339939.89,PAID
1233,V-0030,INV-0604,2024-07-22,367918.53,PAID
1234,V-0030,INV-0382,2024-10-20,321042.35,PAID
1235,V-0030,INV-0178,2025-01-27,432007.62,PAID
1236,V-0030,INV-0838,2025-04-26,593013.93,PAID
1237,V-0030,INV-0300,2025-08-03,470360.42,PAID
1238,V-0030,INV-0106,2025-10-28,309940.47,PAID
1239,V-0030,INV-0735,2026-02-11,378798.84,PAID
1240,V-0030,INV-0550,2026-04-26,564303.77,PAID
1241,V-0031,INV-0980,2024-07-28,826500.93,PAID
1242,V-0031,INV-0407,2024-11-04,709779.88,PAID
1243,V-0031,INV-0305,2025-01-24,896087.01,PAID
1244,V-0031,INV-0507,2025-04-30,489750.74,PAID
1245,V-0031,INV-0811,2025-08-14,549838.39,PAID
1246,V-0031,INV-0900,2025-11-02,906902.38,PAID
1247,V-0031,INV-0936,2026-01-21,594506.60,PAID
1248,V-0031,INV-0677,2026-05-08,588678.23,PAID
1249,V-0032,INV-0284,2024-07-23,1107334.92,PAID
1250,V-0032,INV-0844,2024-11-05,823942.48,PAID
1251,V-0032,INV-0548,2025-01-28,924245.18,PAID
1252,V-0032,INV-0170,2025-05-09,1002142.62,PAID
1253,V-0032,INV-0518,2025-08-09,979565.46,PAID
1254,V-0032,INV-0410,2025-11-04,563519.71,PAID
1255,V-0032,INV-0832,2026-01-21,892744.51,PAID
1256,V-0032,INV-0559,2026-04-27,714233.99,PAID
1257,V-0033,INV-0510,2024-08-15,245604.04,PAID
1258,V-0033,INV-0990,2024-11-01,334367.47,PAID
1259,V-0033,INV-0909,2025-02-04,258472.66,PAID
1260,V-0033,INV-0931,2025-05-15,290039.23,PAID
1261,V-0033,INV-0187,2025-08-01,277361.60,PAID
1262,V-0033,INV-0780,2025-10-18,199448.88,PAID
1263,V-0033,INV-0145,2026-01-24,279123.58,PAID
1264,V-0033,INV-0762,2026-05-01,278730.12,PAID
1265,V-0034,INV-0915,2024-07-29,509245.15,PAID
1266,V-0034,INV-0364,2024-10-28,257742.08,PAID
1267,V-0034,INV-0671,2025-01-21,507269.26,PAID
1268,V-0034,INV-0556,2025-05-03,449109.76,PAID
1269,V-0034,INV-0795,2025-07-27,411095.98,PAID
1270,V-0034,INV-0453,2025-11-01,423770.75,PAID
1271,V-0034,INV-0402,2026-02-12,417774.30,PAID
1272,V-0034,INV-0218,2026-04-27,580088.01,PAID
1273,V-0035,INV-0456,2024-08-10,93096.26,PAID
1274,V-0035,INV-0311,2024-10-25,75810.76,PAID
1275,V-0035,INV-0199,2025-01-30,69078.97,PAID
1276,V-0035,INV-0426,2025-04-29,90996.22,PAID
1277,V-0035,INV-0827,2025-07-18,49982.79,PAID
1278,V-0035,INV-0763,2025-10-18,100582.51,PAID
1279,V-0035,INV-0858,2026-01-17,97492.13,PAID
1280,V-0035,INV-0263,2026-04-22,58144.22,PAID
1281,V-0036,INV-0573,2024-07-27,807829.73,PAID
1282,V-0036,INV-0288,2024-10-22,793187.66,PAID
1283,V-0036,INV-0505,2025-01-20,966418.93,PAID
1284,V-0036,INV-0302,2025-04-16,936751.86,PAID
1285,V-0036,INV-0104,2025-07-29,810015.72,PAID
1286,V-0036,INV-0870,2025-11-05,656351.44,PAID
1287,V-0036,INV-0691,2026-02-04,1061665.86,PAID
1288,V-0036,INV-0291,2026-04-18,1113836.55,PAID
1289,V-0037,INV-0216,2024-07-28,258980.72,PAID
1290,V-0037,INV-0640,2024-10-23,440981.75,PAID
1291,V-0037,INV-0497,2025-02-12,290791.77,PAID
1292,V-0037,INV-0456,2025-05-04,365609.33,PAID
1293,V-0037,INV-0276,2025-07-26,330294.39,PAID
1294,V-0037,INV-0404,2025-11-08,398146.18,PAID
1295,V-0037,INV-0788,2026-02-10,366474.57,PAID
1296,V-0037,INV-0412,2026-04-19,237320.37,PAID
1297,V-0038,INV-0244,2024-07-21,360446.60,PAID
1298,V-0038,INV-0241,2024-10-31,374864.24,PAID
1299,V-0038,INV-0598,2025-02-01,376404.65,PAID
1300,V-0038,INV-0760,2025-05-05,463168.32,PAID
1301,V-0038,INV-0270,2025-08-12,296247.68,PAID
1302,V-0038,INV-0422,2025-10-29,285678.70,PAID
1303,V-0038,INV-0986,2026-02-08,439416.51,PAID
1304,V-0038,INV-0239,2026-04-25,243735.10,PAID
1305,V-0039,INV-0675,2024-07-23,142903.33,PAID
1306,V-0039,INV-0801,2024-10-31,156895.04,PAID
1307,V-0039,INV-0554,2025-01-29,184012.26,PAID
1308,V-0039,INV-0131,2025-04-30,104936.35,PAID
1309,V-0039,INV-0133,2025-08-08,122309.71,PAID
1310,V-0039,INV-0272,2025-10-23,162268.83,PAID
1311,V-0039,INV-0891,2026-02-06,165802.33,PAID
1312,V-0039,INV-0215,2026-05-07,163795.87,PAID
1313,V-0040,INV-0656,2024-08-03,481393.54,PAID
1314,V-0040,INV-0942,2024-11-09,528200.95,PAID
1315,V-0040,INV-0551,2025-02-06,714131.81,PAID
1316,V-0040,INV-0204,2025-05-02,822798.40,PAID
1317,V-0040,INV-0353,2025-08-07,663843.42,PAID
1318,V-0040,INV-0560,2025-10-23,827308.86,PAID
1319,V-0040,INV-0189,2026-01-21,762463.41,PAID
1320,V-0040,INV-0894,2026-04-28,824776.20,PAID
1321,V-0041,INV-0855,2024-08-10,191275.04,PAID
1322,V-0041,INV-0827,2024-11-02,219323.39,PAID
1323,V-0041,INV-0730,2025-02-02,234773.38,PAID
1324,V-0041,INV-0311,2025-04-20,190625.64,PAID
1325,V-0041,INV-0645,2025-08-09,263051.89,PAID
1326,V-0041,INV-0431,2025-10-23,256812.87,PAID
1327,V-0041,INV-0686,2026-02-12,207765.98,PAID
1328,V-0041,INV-0795,2026-04-23,320430.20,PAID
1329,V-0042,INV-0868,2024-08-10,118025.58,PAID
1330,V-0042,INV-0383,2024-11-08,222403.26,PAID
1331,V-0042,INV-0986,2025-02-10,116866.21,PAID
1332,V-0042,INV-0429,2025-04-19,119445.67,PAID
1333,V-0042,INV-0792,2025-08-09,201440.06,PAID
1334,V-0042,INV-0747,2025-10-26,118903.23,PAID
1335,V-0042,INV-0562,2026-01-22,155160.76,PAID
1336,V-0042,INV-0887,2026-04-17,205854.07,PAID
1337,V-0043,INV-0384,2024-07-20,217810.67,PAID
1338,V-0043,INV-0565,2024-11-05,280059.48,PAID
1339,V-0043,INV-0102,2025-02-12,185399.88,PAID
1340,V-0043,INV-0195,2025-05-12,274870.01,PAID
1341,V-0043,INV-0780,2025-08-06,207972.26,PAID
1342,V-0043,INV-0914,2025-11-04,275376.16,PAID
1343,V-0043,INV-0539,2026-01-30,166562.51,PAID
1344,V-0043,INV-0430,2026-05-09,214214.14,PAID
1345,V-0044,INV-0691,2024-08-10,797803.18,PAID
1346,V-0044,INV-0907,2024-10-19,1175281.26,PAID
1347,V-0044,INV-0149,2025-01-25,1050691.00,PAID
1348,V-0044,INV-0956,2025-04-17,1009345.23,PAID
1349,V-0044,INV-0978,2025-07-29,641200.37,PAID
1350,V-0044,INV-0538,2025-10-19,884908.73,PAID
1351,V-0044,INV-0235,2026-01-20,1055121.24,PAID
1352,V-0044,INV-0995,2026-05-11,771480.52,PAID
1353,V-0045,INV-0770,2024-08-13,645769.09,PAID
1354,V-0045,INV-0780,2024-10-26,524942.49,PAID
1355,V-0045,INV-0505,2025-02-11,577350.03,PAID
1356,V-0045,INV-0873,2025-05-04,930789.79,PAID
1357,V-0045,INV-0820,2025-07-23,886329.77,PAID
1358,V-0045,INV-0179,2025-10-17,607553.81,PAID
1359,V-0045,INV-0796,2026-01-17,615607.32,PAID
1360,V-0045,INV-0451,2026-04-28,478051.04,PAID
1361,V-0046,INV-0532,2024-08-10,713812.84,PAID
1362,V-0046,INV-0334,2024-11-05,504183.65,PAID
1363,V-0046,INV-0204,2025-01-26,608109.62,PAID
1364,V-0046,INV-0406,2025-04-19,458951.99,PAID
1365,V-0046,INV-0871,2025-07-20,625644.38,PAID
1366,V-0046,INV-0793,2025-11-10,571482.51,PAID
1367,V-0046,INV-0108,2026-01-18,525869.79,PAID
1368,V-0046,INV-0459,2026-05-03,375402.86,PAID
1369,V-0047,INV-0255,2024-08-07,905410.67,PAID
1370,V-0047,INV-0553,2024-11-12,897523.32,PAID
1371,V-0047,INV-0202,2025-02-09,549711.37,PAID
1372,V-0047,INV-0847,2025-04-20,573672.32,PAID
1373,V-0047,INV-0422,2025-07-27,1125619.34,PAID
1374,V-0047,INV-0760,2025-11-07,655554.02,PAID
1375,V-0047,INV-0714,2026-01-16,856342.77,PAID
1376,V-0047,INV-0807,2026-05-06,679952.36,PAID
1377,V-0048,INV-0996,2024-07-18,331740.26,PAID
1378,V-0048,INV-0621,2024-10-25,263334.57,PAID
1379,V-0048,INV-0761,2025-01-20,237161.83,PAID
1380,V-0048,INV-0345,2025-04-17,342300.65,PAID
1381,V-0048,INV-0611,2025-07-30,179207.66,PAID
1382,V-0048,INV-0112,2025-11-03,170539.12,PAID
1383,V-0048,INV-0235,2026-02-12,349781.17,PAID
1384,V-0048,INV-0530,2026-04-26,330058.51,PAID
1385,V-0049,INV-0881,2024-07-28,169913.60,PAID
1386,V-0049,INV-0174,2024-10-30,206010.69,PAID
1387,V-0049,INV-0368,2025-01-15,96940.14,PAID
1388,V-0049,INV-0908,2025-04-22,198328.67,PAID
1389,V-0049,INV-0829,2025-07-27,122902.77,PAID
1390,V-0049,INV-0818,2025-10-30,138193.27,PAID
1391,V-0049,INV-0650,2026-01-26,164885.52,PAID
1392,V-0049,INV-0417,2026-05-03,121834.12,PAID
1393,V-0050,INV-0927,2024-07-20,218517.37,PAID
1394,V-0050,INV-0700,2024-10-20,140812.84,PAID
1395,V-0050,INV-0797,2025-02-03,207218.76,PAID
1396,V-0050,INV-0547,2025-05-05,138644.99,PAID
1397,V-0050,INV-0159,2025-08-06,208780.19,PAID
1398,V-0050,INV-0218,2025-10-22,219001.55,PAID
1399,V-0050,INV-0416,2026-01-27,177702.58,PAID
1400,V-0050,INV-0279,2026-05-04,184139.28,PAID
1401,V-0051,INV-0818,2024-07-21,669693.75,PAID
1402,V-0051,INV-0455,2024-10-16,572546.38,PAID
1403,V-0051,INV-0838,2025-01-30,704185.48,PAID
1404,V-0051,INV-0867,2025-04-23,515336.14,PAID
1405,V-0051,INV-0220,2025-08-08,467974.83,PAID
1406,V-0051,INV-0926,2025-11-07,358000.85,PAID
1407,V-0051,INV-0369,2026-01-26,585151.42,PAID
1408,V-0051,INV-0178,2026-05-06,609403.65,PAID
1409,V-0052,INV-0156,2024-08-01,202279.51,PAID
1410,V-0052,INV-0476,2024-10-30,211281.33,PAID
1411,V-0052,INV-0687,2025-01-19,244402.65,PAID
1412,V-0052,INV-0858,2025-05-06,138834.08,PAID
1413,V-0052,INV-0983,2025-07-31,127395.09,PAID
1414,V-0052,INV-0472,2025-10-15,127707.38,PAID
1415,V-0052,INV-0978,2026-01-25,144409.37,PAID
1416,V-0052,INV-0831,2026-04-16,249181.46,PAID
1417,V-0053,INV-0429,2024-08-08,449035.27,PAID
1418,V-0053,INV-0427,2024-10-23,639684.79,PAID
1419,V-0053,INV-0481,2025-01-23,317907.08,PAID
1420,V-0053,INV-0153,2025-04-19,546554.14,PAID
1421,V-0053,INV-0147,2025-07-21,596862.58,PAID
1422,V-0053,INV-0576,2025-11-12,314466.22,PAID
1423,V-0053,INV-0418,2026-02-08,585031.09,PAID
1424,V-0053,INV-0108,2026-04-24,500384.67,PAID
1425,V-0054,INV-0903,2024-07-29,130611.53,PAID
1426,V-0054,INV-0575,2024-10-25,172132.07,PAID
1427,V-0054,INV-0891,2025-01-26,215913.08,PAID
1428,V-0054,INV-0659,2025-05-09,185893.61,PAID
1429,V-0054,INV-0106,2025-08-07,124784.12,PAID
1430,V-0054,INV-0654,2025-11-11,97045.19,PAID
1431,V-0054,INV-0998,2026-01-24,199324.74,PAID
1432,V-0054,INV-0877,2026-04-15,136055.99,PAID
1433,V-0055,INV-0844,2024-08-05,877605.84,PAID
1434,V-0055,INV-0343,2024-10-25,524252.98,PAID
1435,V-0055,INV-0245,2025-01-27,939174.70,PAID
1436,V-0055,INV-0337,2025-05-07,462690.82,PAID
1437,V-0055,INV-0817,2025-08-11,696900.74,PAID
1438,V-0055,INV-0865,2025-11-10,663256.09,PAID
1439,V-0055,INV-0236,2026-01-16,464090.85,PAID
1440,V-0055,INV-0706,2026-05-04,628071.03,PAID
1441,V-0056,INV-0233,2024-08-03,705537.77,PAID
1442,V-0056,INV-0422,2024-10-23,601943.18,PAID
1443,V-0056,INV-0951,2025-02-11,680512.94,PAID
1444,V-0056,INV-0378,2025-05-08,635920.18,PAID
1445,V-0056,INV-0239,2025-07-23,1008340.57,PAID
1446,V-0056,INV-0259,2025-11-07,794684.15,PAID
1447,V-0056,INV-0421,2026-01-17,714220.62,PAID
1448,V-0056,INV-0888,2026-04-27,765637.82,PAID
1449,V-0057,INV-0371,2024-07-24,269745.48,PAID
1450,V-0057,INV-0926,2024-11-10,214210.32,PAID
1451,V-0057,INV-0813,2025-02-04,401796.20,PAID
1452,V-0057,INV-0977,2025-05-04,245968.85,PAID
1453,V-0057,INV-0354,2025-07-25,214411.83,PAID
1454,V-0057,INV-0150,2025-11-13,292159.33,PAID
1455,V-0057,INV-0278,2026-02-03,257475.64,PAID
1456,V-0057,INV-0563,2026-04-15,294236.46,PAID
1457,V-0058,INV-0196,2024-08-02,768476.08,PAID
1458,V-0058,INV-0243,2024-10-29,918478.89,PAID
1459,V-0058,INV-0899,2025-01-18,479762.39,PAID
1460,V-0058,INV-0943,2025-05-15,520574.32,PAID
1461,V-0058,INV-0760,2025-07-28,848960.62,PAID
1462,V-0058,INV-0932,2025-10-17,789754.44,PAID
1463,V-0058,INV-0302,2026-01-16,1032714.08,PAID
